Name,Type,Zone
Tower Gateway,Dockland Light Railway,Zone 1
Hoxton,London Overground,Zone 1
Shortditch High Street,London Overground,Zone 1
Aldgate,London Underground,Zone 1
Aldgate East,London Underground,Zone 1
Angel,London Underground,Zone 1
Baker Street,London Underground,Zone 1
Barbican,London Underground,Zone 1
Bank,London Underground,Zone 1
Battersea Power Station,London Underground,Zone 1
Bayswater,London Underground,Zone 1
Blackfriars LU,London Underground,Zone 1
Bond Street,London Underground,Zone 1
Borough,London Underground,Zone 1
Cannon Street LU,London Underground,Zone 1
Chancery Lane,London Underground,Zone 1
Charing Cross LU,London Underground,Zone 1
Covent Garden,London Underground,Zone 1
Earl’s Court,London Underground,Zone 1
Edgware Road (Bakerloo),London Underground,Zone 1
Edgware Road (Circle),London Underground,Zone 1
Elephant & Castle LU,London Underground,Zone 1
Embankment,London Underground,Zone 1
Euston LU,London Underground,Zone 1
Euston Square,London Underground,Zone 1
Farringdon,London Underground,Zone 1
Gloucester Road,London Underground,Zone 1
Goodge Street,London Underground,Zone 1
Great Portland Street,London Underground,Zone 1
Green Park,London Underground,Zone 1
High Street Kensington,London Underground,Zone 1
Holborn,London Underground,Zone 1
Hyde Park Corner,London Underground,Zone 1
Kennington,London Underground,Zone 1
King’s Cross St Pancrass LU,London Underground,Zone 1
Knightsbridge,London Underground,Zone 1
Lambeth North,London Underground,Zone 1
Lancaster Gate,London Underground,Zone 1
Leicester Square,London Underground,Zone 1
Liverpool Street LU,London Underground,Zone 1
London Bridge LU,London Underground,Zone 1
Mansion House,London Underground,Zone 1
Mable Arch,London Underground,Zone 1
Marylebone LU,London Underground,Zone 1
Monument,London Underground,Zone 1
Moorgate,London Underground,Zone 1
Nine Elms,London Underground,Zone 1
Notting Hill Gate,London Underground,Zone 1
Old Street,London Underground,Zone 1
Oxford Circus,London Underground,Zone 1
"Paddington (Bakerloo, Circle and District)",London Underground,Zone 1
Paddington (Circle and Hammersmith & City),London Underground,Zone 1
Piccadilly Circus,London Underground,Zone 1
Pimlico,London Underground,Zone 1
Queensway,London Underground,Zone 1
Regent’s Park,London Underground,Zone 1
Russell Square,London Underground,Zone 1
Sloane Square,London Underground,Zone 1
South Kensington,London Underground,Zone 1
Southwark,London Underground,Zone 1
St James’s Park,London Underground,Zone 1
St Paul’s,London Underground,Zone 1
Temple,London Underground,Zone 1
Tottenham Court Road,London Underground,Zone 1
Tower Hill,London Underground,Zone 1
Vauxhall LU,London Underground,Zone 1
Victoria LU,London Underground,Zone 1
Warren Street,London Underground,Zone 1
Waterloo LU,London Underground,Zone 1
Westminster,London Underground,Zone 1