Route,Start,End,Operator,Notes
1,Canada Water bus station,Hampstead Heath,Go-Ahead London,
2,Marylebone station,Norwood bus garage,Arriva London,
3,Crystal Palace bus station,Victoria bus station,Transport UK London Bus,
4,Archway tube station,Blackfriars station,Metroline,
5,Canning Town bus station,Romford Market,Go-Ahead London,
6,London Victoria station,Willesden bus garage,Metroline,24-hour operation.
7,East Acton,Oxford Circus,Metroline,
8,Bow Church,Tottenham Court Road station,Stagecoach London,
9,Aldwych,Hammersmith bus station,Metroline,
11,Fulham Town Hall,London Waterloo station,Go-Ahead London,
12,Dulwich Library,Oxford Circus,Go-Ahead London,24-hour operation.
13,North Finchley bus station,London Victoria station,RATP Dev Transit London,24-hour operation.
14,Putney Heath,Russell Square,Go-Ahead London,24-hour operation.
15,Blackwall DLR station,Charing Cross tube station,Go-Ahead London,
16,Brent Park,London Paddington station,Metroline,
17,Archway tube station,London Bridge bus station,Metroline,
18,Euston bus station,Sudbury & Harrow Road railway station,RATP Dev Transit London,
19,Battersea Bridge,Finsbury Park bus station,Arriva London,
20,Debden,Walthamstow bus station,Stagecoach London,
21,Lewisham Shopping Centre,Holloway,Go-Ahead London,
22,Oxford Circus,Putney Common,Go-Ahead London,
23,Aldwych,Westbourne Park tube station,RATP Dev Transit London,24-hour operation.
24,Hampstead Heath,Pimlico,Transport UK London Bus,24-hour operation.
25,Ilford,St Paul's tube station,Stagecoach London,Temporarily withdrawn between City Thameslink railway station and St Paul's tube station until 19:00 on 29 September 2024 due to Cadent Gas works closing Farringdon Street northbound from Ludgate Circus to Charterhouse Street.
26,Hackney Wick,London Victoria station,Stagecoach London,
27,Chalk Farm,Hammersmith Grove,Transport UK London Bus,
28,Kensal Rise railway station,Southside Wandsworth,Metroline,
29,Trafalgar Square,Wood Green tube station,Arriva London,
30,Hackney Wick,Marble Arch tube station,Metroline,
31,White City bus station,Camden Town tube station,Metroline,
32,Edgware bus station,Kilburn Park tube station,Metroline,
33,Fulwell railway station,Castelnau,RATP Dev Transit London,Temporarily withdrawn between Castelnau and Hammersmith bus station until further notice due to the closure of Hammersmith Bridge.
34,Barnet Church,Walthamstow bus station,Arriva London,
35,Clapham Junction railway station,Shoreditch,Go-Ahead London,24-hour operation.
36,New Cross bus garage,Queen's Park station,Go-Ahead London,24-hour operation.
37,Peckham,Putney Heath,Go-Ahead London,24-hour operation.
38,Clapton Pond,Victoria bus station,Arriva London,Several buses start from Hackney Central during weekday daytimes.
39,Clapham Junction railway station,Putney Bridge tube station,Go-Ahead London,
40,Clerkenwell Road,Dulwich Library,Go-Ahead London,
41,Archway tube station,Tottenham Hale bus station,Arriva London,
42,East Dulwich,Shoreditch,Go-Ahead London,Extended from Denmark Hill to East Dulwich on 1 October 2016.
43,Friern Barnet,London Bridge bus station,Metroline,24-hour operation.
44,Tooting railway station,London Victoria station,Go-Ahead London,
45,Clapham Park,Elephant and Castle,Transport UK London Bus,Ran to London King's Cross railway station until 15 June 2019.
46,London Paddington station,St Bartholomew's Hospital,Metroline,Operated with electric buses since 20 October 2018.
47,Catford bus garage,Shoreditch,Stagecoach London,24-hour operation.
49,Clapham Junction,White City bus station,RATP Dev Transit London,
50,Fairfield Halls,Stockwell tube station,Arriva London,
51,Orpington railway station,Beresford Square,Go-Ahead London,
52,Victoria bus station,Willesden bus garage,Metroline,24-hour operation.
53,Plumstead railway station,Lower Marsh,Stagecoach London,
54,Woolwich railway station,Elmers End station,Stagecoach London,Transferred from Go-Ahead London to Stagecoach London on 3 May 2014.
55,Walthamstow bus station,Oxford Circus,Stagecoach London,
56,St Bartholomew's Hospital,Whipps Cross,Stagecoach London,
57,Clapham Park,Fairfield bus station,Go-Ahead London,24-hour operation.
58,East Ham,Walthamstow bus station,Stagecoach London,
59,St Bartholomew's Hospital,Streatham Hill,Arriva London,
60,Old CoulsdonOasis Academy Coulsdon (schoolday journeys to Streatham railway station)[26],Streatham railway station,Arriva London,
61,Bromley North railway station,Chislehurst,Stagecoach London,
62,Barking,Marks Gate,Stagecoach London,
63,London King's Cross railway station,Honor Oak,Transport UK London Bus,
64,New Addington,Thornton Heath Pond,Arriva London,24-hour operation.[27]
65,Ealing Broadway station,Kingston upon Thames,RATP Dev Transit London,
66,Leytonstone bus station,Romford railway station,Arriva London,
67,Wood Green tube station,Dalston,Go-Ahead London,
68,Euston bus station,West Norwood,Transport UK London Bus,
69,Canning Town bus station,Walthamstow bus station,Go-Ahead London,24-hour operation.[29]
70[30],Chiswick Business Park,South Kensington tube station,RATP Dev Transit London,
71,Chessington World of Adventures,Kingston upon Thames,RATP Dev Transit London,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[31]
72,East Acton,Hammersmith Bridge,RATP Dev Transit London,Temporarily withdrawn between Hammersmith Bridge and Roehampton until further notice due to the closure of Hammersmith Bridge.[32]
73,Oxford Circus,Stoke Newington Common,Arriva London,
74,Baker Street tube station,Putney Exchange,Go-Ahead London,
75,Fairfield Halls,Lewisham station,Stagecoach London,
76,Tottenham Hale bus station,Lower Marsh,Arriva London,24-hour operation.[33]
77,Tooting railway station,London Waterloo station,Go-Ahead London,
78,Nunhead,Shoreditch High Street railway station,Go-Ahead London,
79,Stonebridge Park station,Edgware bus station,RATP Dev Transit London,
80,Downview & High Down Prisons,Hackbridge,Go-Ahead London,
81,Slough,Hounslow bus station,Metroline,Temporarily withdrawn between Slough bus station and Slough until further notice due to Slough bus station being closed due to damage caused by a recent fire.[34]
83,Alperton,Golders Green tube station,Metroline,
85,Kingston upon Thames,Putney Bridge tube station,RATP Dev Transit London,
86[35],Romford railway station,Stratford bus station,Stagecoach London,
87,Aldwych,Wandsworth,Go-Ahead London,Originally numbered 77A until 3 June 2006.[36]
88,Parliament Hill Fields,Clapham Common,Go-Ahead London,24-hour operation.
89,Lewisham station,Slade Green railway station,Go-Ahead London,
90,Feltham,Northolt tube station,Metroline,Operated with double-decker buses since 29 August 2015.[37]
91,Crouch End,Trafalgar Square,Go-Ahead London,Transferred from Metroline to Go-Ahead London on 4 February 2023.
92,Ealing Hospital,St Raphael's North,Metroline,
93,North Cheam,Putney Bridge tube station,Go-Ahead London,24-hour operation.
94,Acton Green,Piccadilly Circus,RATP Dev Transit London,24-hour operation.
95,Shepherd's Bush Green,Southall Town Hall,Metroline,
96,Bluewater Shopping Centre,Woolwich,Stagecoach London,
97,Chingford railway station,Stratford City bus station,Stagecoach London,
98,Red Lion Square,Willesden bus garage,Metroline,
99,Bexleyheath Shopping Centre,Beresford Square,Arriva London,Extended from Erith to Bexleyheath Shopping Centre on 24 January 2009.[38]
Route,Start,End,Operator,Notes
100,St Paul's tube station,Shadwell railway station,Go-Ahead London,Operated with electric buses since 18 January 2020.
101,Beckton bus station,Wanstead tube station,Go-Ahead London,
102,Brent Cross bus station,Edmonton Green bus station,Arriva London,24-hour operation between Edmonton Green bus station and Golders Green tube station.[39]
103,Chase Cross,Rainham railway station,Arriva London,
104,Beckton bus station,Stratford bus station,Go-Ahead London,
105,Greenford station,Heathrow Central bus station,RATP Dev Transit London,24-hour operation.[40]
106,Finsbury Park bus station,Whitechapel,Go-Ahead London,
107,Edgware bus station,New Barnet railway station,Metroline,Crosses border into Hertfordshire at Elstree & Borehamwood railway station.[41]
108,Lewisham Shopping Centre,Stratford International station,Go-Ahead London,24-hour operation.[29]
108D,Lewisham Shopping Centre,North Greenwich bus station,Go-Ahead London,Runs only at night.
109,Croydon,Brixton tube station,Transport UK London Bus,
110,Hammersmith bus station,Hounslow bus station,RATP Dev Transit London,
111,Heathrow Central bus station,Kingston upon Thames,Transport UK London Bus,24-hour operation.[40]Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.
112,Ealing Broadway station,Tally Ho Corner,Metroline,
113,Edgware bus station,Marble Arch tube station,Metroline,
114,Mill Hill Broadway railway station,Ruislip tube station,Metroline,
115,Aldgate bus station,East Ham,Go-Ahead London,
116,Ashford Hospital,Hounslow bus station,RATP Dev Transit London,
117,Staines-upon-Thames,West Middlesex University Hospital,RATP Dev Transit London,
118,Morden tube station,Brixton tube station,Go-Ahead London,
119,Bromley North railway station,Croydon Colonnades,Go-Ahead London,24-hour operation.[43]
120,Hounslow bus station,Northolt tube station,Metroline,
121,Enfield Island Village,Turnpike Lane bus station,Arriva London,
122,Crystal Palace bus station,Plumstead bus garage,Stagecoach London,
123,Ilford,Wood Green tube station,Arriva London[44],24-hour operation.[45]
124[46],St Dunstan's College,Eltham,Stagecoach London,
125,Colindale tube station,Winchmore Hill,RATP Dev Transit London,
126,Bromley,Eltham,Go-Ahead London,
127,Purley railway station,Tooting Broadway tube station,Go-Ahead London,
128,Claybury Broadway,Romford railway station,Stagecoach London,24-hour operation.[29]
129,Lewisham Shopping Centre,North Greenwich bus station,Go-Ahead London,
130[47],New Addington,Thornton Heath,Transport UK London Bus,
131,Fairfield bus station,Tooting Broadway tube station,Go-Ahead London,Transferred from London United to Go-Ahead London on 30 September 2017.[48]
132[49],Bexleyheath Shopping Centre,North Greenwich bus station,Go-Ahead London,Extended from Eltham railway station to North Greenwich bus station on 24 January 2009.[38]
133,Streatham railway station,Holborn tube station,Transport UK London Bus,
134,University College Hospital,Tally Ho Corner,Metroline,24-hour operation.
135,Cubitt Town,Moorfields Eye Hospital,Stagecoach London,
136[46],Elephant and Castle,Grove Park railway station,Stagecoach London,
137,Marble Arch tube station,Streatham Hill,Arriva London,
138,Bromley North railway station,Coney Hall,Go-Ahead London,
139,Golders Green tube station,London Waterloo station,Metroline,24-hour operation.
140,Harrow Weald bus garage,Hayes & Harlington railway station,Metroline,Withdrawn between Heathrow Central bus station and Hayes & Harlington railway station on 7 December 2019.
141,London Bridge bus station,Palmers Green,Arriva London,
142,Brent Cross bus station,Watford Junction railway station,Metroline,
143,Archway tube station,Brent Cross bus station,Metroline,
144,Edmonton Green bus station,Muswell Hill,Arriva London,
145,Dagenham,Leytonstone bus station,Stagecoach London,
146[50],Bromley North railway station,Downe,Stagecoach London,
147,Canning Town bus station,Ilford,Go-Ahead London,
148,Camberwell Green,White City bus station,RATP Dev Transit London,24-hour operation.
149,Edmonton Green bus station,London Bridge bus station,Arriva London,24-hour operation.
150,Becontree Heath,Chigwell Row,Arriva London,
151,Wallington,Worcester Park railway station,Go-Ahead London,
152,New Malden,Pollards Hill,Go-Ahead London,
153,Finsbury Park bus station,Liverpool Street bus station,Go-Ahead London,
154,Morden tube station,West Croydon bus station,Go-Ahead London,
155,Elephant and Castle,St George's Hospital,Go-Ahead London,
156,Vauxhall bus station,Wimbledon station,Transport UK London Bus,
157,Crystal Palace bus station,Morden tube station,Go-Ahead London,
158,Chingford Mount,Stratford bus station,Arriva London,24-hour operation.[51]
159,Oxford Circus,Streatham railway station,Transport UK London Bus,24-hour operation.
160[52],Catford Bridge railway station,Sidcup railway station,Stagecoach London,
161,Chislehurst,North Greenwich bus station,Stagecoach London,
162,Beckenham Junction station,Eltham railway station,Go-Ahead London,
163,Morden tube station,Wimbledon,Go-Ahead London,
164,Wimbledon,Sutton railway station,Go-Ahead London,
165,Rainham,The Brewery,Stagecoach London,
166,BansteadEpsom Hospital (once per hour),West Croydon bus station,Arriva London,
167,Ilford,Loughton tube station,Stagecoach London,
169,Barking,Clayhall,Stagecoach London,
170,Roehampton,London Victoria station,Go-Ahead London,
171,Elephant and Castle,Catford bus garage,Go-Ahead London,Ran to Holborn tube station until 15 June 2019.[53]
172,Brockley Rise,Aldwych,Go-Ahead London,Ran to Clerkenwell Green until 15 June 2019.
173,Beckton bus station,King George Hospital,Stagecoach London,
174,Beam Park,Harold Hill,Stagecoach London,
175,Dagenham,Hillrise Estate,Arriva London,
176,Penge,Tottenham Court Road station,Go-Ahead London,24-hour operation.
177,Peckham,Thamesmead,Stagecoach London,
178,Lewisham station,Woolwich,Go-Ahead London,
179,Chingford railway station,Ilford,Stagecoach London,
180,Erith,North Greenwich bus station,Stagecoach London,
181,Grove Park railway station,Lewisham station,Stagecoach London,
182,Brent Cross bus station,Harrow Weald,Metroline,
183,Golders Green tube station,Pinner tube station,RATP Dev Transit London,
184,Chipping Barnet,Turnpike Lane bus station,Go-Ahead London,
185,Lewisham station,London Victoria station,Go-Ahead London,
186,Brent Cross bus station,Northwick Park Hospital,Metroline,
187,O2 Centre,Central Middlesex Hospital,Metroline,
188,North Greenwich bus station,Tottenham Court Road station,Go-Ahead London,24-hour operation.
189,Brent Cross bus station,Marble Arch tube station,Metroline,24-hour operation.
190,Richmond bus station,Empress State Building,Metroline,
191,Brimsdown railway station,Edmonton Green bus station,Arriva London,
192,Enfield Town,Tottenham Hale bus station,Arriva London,
193[54],County Park Estate,Queen's Hospital,Stagecoach London,
194,Lower Sydenham,West Croydon bus station,Arriva London,
195,Brentford,Charville Lane Estate,Transport UK London Bus,
196,Elephant and Castle,Norwood Junction railway station,Transport UK London Bus,
197[55],Fairfield Halls,Peckham,Go-Ahead London,
198,Shrublands,Thornton Heath,Arriva London,
199,Canada Water bus station,Catford bus garage,Stagecoach London,
Route,Start,End,Operator,Notes
200[56],Mitcham,Raynes Park,Go-Ahead London,
201,Herne Hill railway station,Morden tube station,Transport UK London Bus,
202,Crystal Palace bus station,Blackheath,Arriva London,
203,Staines-upon-Thames,Hounslow bus station,RATP Dev Transit London,
204,Edgware bus station,Sudbury Town tube station,Metroline,
205,Bow Church,Paddington,Stagecoach London,
206[57],Kilburn Park tube station,Wembley Park,Metroline,
207,Hayes Bypass,White City bus station,Transport UK London Bus,
208,Lewisham station,Orpington,Go-Ahead London,
209,Mortlake,Castelnau,Go-Ahead London,Temporarily withdrawn between Castelnau and Hammersmith bus station until further notice due to the closure of Hammersmith Bridge.[58]
210,Brent Cross bus station,Finsbury Park bus station,Metroline,
211,Hammersmith bus station,Battersea Power Station tube station,Transport UK London Bus,
212,Chingford railway station,St. James Street railway station,Go-Ahead London,
213[59],Fairfield bus station,Sutton bus garage,Go-Ahead London,24-hour operation.[60][61]
214,Highgate Village,Finsbury Square,Go-Ahead London,24-hour operation.
215[62],Walthamstow bus station,Lee Valley Campsite,Stagecoach London,
216,Kingston upon Thames,Staines-upon-Thames,RATP Dev Transit London,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[63]
217,Turnpike Lane bus station,Waltham Cross,Sullivan Buses,
218,North Acton,Hammersmith bus station,RATP Dev Transit London,Introduced on 7 December 2019 with a peak frequency of every 10 minutes.[64][65]
219,Clapham Junction,Wimbledon,Go-Ahead London,
220,Southside Wandsworth,Willesden Junction station,RATP Dev Transit London,24-hour operation.[40]
221,Edgware bus station,Turnpike Lane bus station,Arriva London,
222,Uxbridge tube station,Hounslow bus station,Metroline,24-hour operation.[22]
223[66],Harrow View,Wembley Central station,Metroline,
224,St Raphael's Estate,Alperton,RATP Dev Transit London,
225,Canada Water bus station,Hither Green railway station,Go-Ahead London,
226,Ealing Broadway station,Golders Green tube station,RATP Dev Transit London,
227[46],Crystal Palace bus station,Bromley North railway station,Go-Ahead London,
228,Central Middlesex Hospital,Maida Hill,Metroline,
229,Queen Mary's Hospital,Thamesmead,Arriva London,
230,Upper Walthamstow,Wood Green tube station,Go-Ahead London,Transferred from Arriva London to Go-Ahead London on 20 June 2020.[67]
231,Enfield Chase railway station,Turnpike Lane bus station,Metroline,
232,St Raphael's Estate,Turnpike Lane bus station,Go-Ahead London,
233[68],Eltham railway station,Swanley,Go-Ahead London,
234,The Spires Barnet,Archway tube station,Metroline,
235,North Brentford,Sunbury Village,RATP Dev Transit London,Extended from Brentford to North Brentford on 7 December 2013.[69]Transferred from Metroline to RATP Dev Transit London on 8 January 2022.[52]
236,Finsbury Park bus station,Hackney Wick,Stagecoach London,
237,Hounslow Heath,White City bus station,Metroline,
238,Barking station,Stratford bus station,Stagecoach London,24-hour operation.[22]
240,Edgware bus station,Golders Green tube station,Metroline,
241,Royal Wharf,Stratford City bus station,Stagecoach London,
242,Homerton University Hospital,Aldgate bus station,Stagecoach London,
243,London Waterloo station,Wood Green tube station,Arriva London,24-hour operation.
244,Abbey Wood,Queen Elizabeth Hospital,Go-Ahead London,
245,Alperton,Golders Green tube station,Metroline,
246,Bromley North railway station,WesterhamChartwell (8 buses on Summer Sundays)[70],Stagecoach London,
247,Barkingside tube station,Romford railway station,Stagecoach London,
248,Cranham,Romford Market,Arriva London,
249,Anerley railway station,Clapham Common,Arriva London,
250,West Croydon bus station,Brixton tube station,Arriva London,
251,Arnos Grove tube station,Edgware bus station,Metroline,
252,Collier Row,Hornchurch,Stagecoach London,
253,Euston bus station,Hackney Central railway station,Arriva London,
254,Aldgate bus station,Holloway,Arriva London,
255,Balham station,Pollards Hill,Arriva London,
256,Hornchurch,Noak Hill,Stagecoach London,
257,Stratford bus station,Walthamstow bus station (20:00 until 03:00)Bakers Arms (03:00 until 20:00),Stagecoach London,Temporarily withdrawn between Walthamstow bus station and Bakers Arms during 03:00-20:00 each day until the end of August due to Walthamstow bus station being closed for works.[71]
258,South Harrow tube station,Watford Junction railway station,RATP Dev Transit London,
259,Edmonton Green bus station,King's Cross,Arriva London,
260,Golders Green tube station,White City bus station,Metroline,
261,Lewisham station,Princess Royal University Hospital,Stagecoach London,
262,Gallions Reach Shopping Park,Stratford bus station,Go-Ahead London,
263,Barnet Hospital,Highbury Barn,Metroline,
264,West Croydon bus station,St George's Hospital,Go-Ahead London,24-hour operation.[72]
265,Putney Bridge tube station,Tolworth,Go-Ahead London,
266,Brent Cross bus station,Acton,RATP Dev Transit London,
267,Fulwell,Hammersmith bus station,Transport UK London Bus,
268,O2 Centre,Golders Green tube station,Metroline,
269,Bexleyheath Shopping Centre,Bromley North railway station,Arriva London,
270,Mitcham,Putney Bridge tube station,Transport UK London Bus,
272,Shepherd's Bush Green,Chiswick,RATP Dev Transit London,
273,Lewisham,Petts Wood railway station,Stagecoach London,
274,Angel Islington,Lancaster Gate tube station,Metroline,
275,Barkingside,St. James Street railway station,Stagecoach London,Crosses border into Essex in Chigwell.[73]
276,Newham University Hospital,Stoke Newington Common,Stagecoach London,Transferred from Go-Ahead London to Stagecoach London on 16 September 2023.
277,Cubitt Town,Dalston,Stagecoach London,
278,Heathrow Central bus station,Ruislip tube station,Transport UK London Bus,Introduced on 7 December 2019.[74][65]
279,Manor House tube station,Waltham Cross,Arriva London,
280,St George's Hospital,Belmont railway station,Go-Ahead London,
281,Hounslow bus station,Tolworth,RATP Dev Transit London,24-hour operation.
282,Ealing Hospital,Mount Vernon Hospital,Metroline,
283,East Acton,Hammersmith bus station,RATP Dev Transit London,
284,Lewisham station,Grove Park Cemetery,Stagecoach London,
285[65],Heathrow Central bus station,Kingston upon Thames,Transport UK London Bus,24-hour operation.[40]Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[75]
286,Cutty Sark,Queen Mary's Hospital,Go-Ahead London,
287,Barking station,Rainham,Stagecoach London,
288,Broadfields Estate,Queensbury,RATP Dev Transit London,
289,Elmers End station,Purley railway station,Arriva London,
290,Staines-upon-Thames,Twickenham,RATP Dev Transit London,
291,Queen Elizabeth Hospital,Woodlands Estate,Go-Ahead London,
292,Borehamwood,Colindale,Metroline,
293,Morden tube station,Epsom Hospital,RATP Dev Transit London,
294,Havering Country Park,Noak Hill,Stagecoach London,
295,Clapham Junction railway station,Ladbroke Grove,RATP Dev Transit London,24-hour operation.[40]
296,Ilford,Romford railway station,Stagecoach London,
297,Ealing Broadway station,Willesden bus garage,Metroline,24-hour operation.[40]
298,Arnos Grove tube station,Potters Bar railway station,Sullivan Buses,Withdrawn between Potters Bar and Potters Bar railway station on 13 November 2017.
299,Muswell Hill,Cockfosters tube station,Sullivan Buses,
Route,Start,End,Operator,Notes
300,Canning Town bus station,East Ham,Go-Ahead London,
301,Bexleyheath Shopping Centre,Beresford Square,Arriva London,Introduced on 13 July 2019.[76]
302,Mill Hill Broadway railway station,Kensal Rise railway station,Metroline,
303,Kingsbury,Edgware bus station,RATP Dev Transit London,
304,Manor Park,Custom House station,Go-Ahead London,Introduced on 21 May 2022 in preparation for the Elizabeth line.[77]
306,Acton Vale,Sands End,Transport UK London Bus,Introduced on 7 December 2019 with a peak frequency of every 12 minutes.[64]
307,Barnet Hospital,Brimsdown railway station,Arriva London,
308,Clapton Pond,Wanstead,Stagecoach London,
309,Bethnal Green,Canning Town bus station,Stagecoach London,
312,Norwood Junction railway station,Purley,Arriva London,
313,Chingford railway stationEnfield bus garage (schoolday journeys to and from Dame Alice Owen's School)[78],Potters Bar railway stationDame Alice Owen's School (schoolday journeys to and from Enfield bus garage)[79],Arriva London,
314,New Addington tram stop,Eltham railway station,Stagecoach London,
315,Balham station,West Norwood,Transport UK London Bus,Transferred from Go-Ahead London to Abellio London on 17 October 2020.[67]
316,Brent Cross West railway station,White City bus station,Metroline,Extended from Cricklewood bus garage to Brent Cross West railway station on 10 December 2023.[80]
317,Enfield Town,Waltham Cross,Metroline,
318,North Middlesex University Hospital,Stamford Hill,Arriva London,
319,Sloane Square,Streatham Hill,Arriva London,
320,Biggin Hill Valley,Catford Bridge railway station,Go-Ahead London,
321,Foots Cray,New Cross,Go-Ahead London,24-hour operation.[21]
322,Crystal Palace bus station,Clapham Common,Transport UK London Bus,
323,Canning Town bus station,Mile End tube station,Stagecoach London,
324,Brent Cross,Elstree,Metroline,
325,East Beckton,Prince Regent DLR station,Go-Ahead London,
326,The Spires Barnet,Brent Cross bus station,RATP Dev Transit London,
327,Waltham Cross,Circular via Elsinge Estate & Turkey Street railway station,Sullivan Buses,
328,World's End,Golders Green tube station,Metroline,
329,Enfield Town,Turnpike Lane bus station,Arriva London,
330,Thames Barrier,Wanstead Park railway station,Stagecoach London,
331,Uxbridge tube station,Ruislip tube station,Metroline,Runs via Harefield.[81]Crosses border into Hertfordshire at Batchworth Heath and into Buckinghamshire at Denham railway station.[82]
333,Elephant and Castle,Tooting Broadway tube station,Go-Ahead London,
335,Kidbrooke,North Greenwich bus station,Arriva London,Introduced on 26 October 2019.[83]
336,Catford Bridge railway station,Locksbottom,Stagecoach London,
337,Clapham Junction,Richmond bus station,Go-Ahead London,
339,Leytonstone bus station,Shadwell DLR station,Stagecoach London,
340,Edgware bus station,Harrow bus station,RATP Dev Transit London,
341,London Waterloo station,Meridian Water railway station,Arriva London,24-hour operation.
343,Aldgate bus station,New Cross Gate,Go-Ahead London,
344,Clapham Junction railway station,Liverpool Street bus station,Transport UK London Bus,24-hour operation.
345,Peckham,Natural History Museum,Transport UK London Bus,24-hour operation.
346,Upminster Park Estate,Harold Hill,Stagecoach London,
347,Romford railway station,Ockendon railway station,Arriva London,
349,Enfield bus garage,Stamford Hill,Arriva London,
350,Hayes,Heathrow Terminal 5,Transport UK London Bus,
352,Bromley North railway station,Lower Sydenham,Go-Ahead London,
353,Forestdale,Ramsden,Go-Ahead London,
354,Bromley North railway station,Penge,Go-Ahead London,
355,Mitcham,Brixton tube station,Go-Ahead London,
356,Shirley,Upper Sydenham,Stagecoach London,
357,Chingford Hatch,Whipps CrossWhipps Cross University Hospital (Sundays only),Go-Ahead London,
358,Crystal Palace bus station,Orpington railway station,Go-Ahead London,
359,Addington Village Interchange,Purley,Go-Ahead London,
360,Elephant and Castle,Royal Albert Hall,Go-Ahead London,
