Route,Start,End,Schools,Operator,Notes
601,Thamesmead,Wilmington Academy,Wilmington Academy,Go-Ahead London,
602,Thamesmead,Townley Grammar School,Townley Grammar School,Stagecoach London,
603,Swiss Cottage tube station,Muswell Hill,N/A,Metroline,
605,Burnt Oak tube station,Totteridge & Whetstone tube station,Mill Hill County High School,Sullivan Buses,
606,Queensbury tube station,The Totteridge Academy,"The Totteridge AcademyQueen Elizabeth's School, Barnet",Sullivan Buses,
608,Gallows Corner,Shenfield High School,Shenfield High School,Go-Ahead London,
612,Selsdon,Wallington County Grammar School,Wallington County Grammar SchoolRiddlesdown CollegiateThe John Fisher SchoolWallington High School for Girls,Arriva London,
613,Tolworth railway station,Glenthorne High School,Glenthorne High School,RATP Dev Transit London,
616,Winchmore Hill,Edmonton Green bus station,The Latymer School,Stagecoach London,
617,Turnpike Lane bus station,Turkey Street railway station,St Ignatius College,Sullivan Buses,
621,Lewisham station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Stagecoach London,
624,Grove Park railway station,Stationers' Crown Woods AcademyWelling (1 bus eastbound only),Stationers' Crown Woods Academy,Go-Ahead London,
625,Plumstead Common,Chislehurst,N/A,Go-Ahead London,
626,Finchley Central tube station,Dame Alice Owen's School,Dame Alice Owen's School,Metroline,
627,Wallington High School for Girls,Worcester Park railway station,Wallington High School for Girls,Arriva London,
628,JFS,Southgate tube station,JFS,Uno,Runs one way to Southgate tube station only.
629,Turkey Street railway station,Wood Green bus garage,St Ignatius College,Sullivan Buses,
631,Golders Green tube station,Henrietta Barnett School,Henrietta Barnett School,Metroline,
632,Grahame Park,Kilburn Park tube station,St James' Catholic High School,Metroline,
633,Pollards Hill,Coulsdon South railway station,Woodcote High School,Go-Ahead London,Transferred from Quality Line to Go-Ahead London on 3 April 2021.
634,Muswell Hill,Chipping Barnet,"Queen Elizabeth's School, Barnet",Metroline,
635,St Paul's College,Hounslow bus station,St Paul's College,Metroline,
638,Coney Hall,Kemnal Technology College,Chislehurst School for GirlsKemnal Technology CollegeCoopers SchoolEltham College,Stagecoach London,
639,Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
640,South Harrow tube station,Bentley Wood High School,Whitmore High SchoolSalvatorian CollegeSacred Heart Language CollegeBentley Wood High School,Sullivan Buses,
642,West Hendon,London Academy,London Academy,Metroline,
643,Brent Cross bus station,Christ's College Finchley,Christ's College Finchley,Uno,
645,Purley Cross,Waddon,N/A,Arriva London,Introduced on 4 January 2022 to replace route 405D.
646,Noak Hill,Cranham,N/A,Go-Ahead London,
649,Romford bus garage,The Campion School,The Campion School,Go-Ahead London,
650,Romford bus garage,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
651,Romford railway station,Chase Cross,Bower Park Academy,Go-Ahead London,
652,Rainham,Upminster station,Sanders Draper SchoolHavering Sixth Form CollegeThe Brittons AcademyHarris Academy Rainham,Go-Ahead London,
653,JFS,Muswell Hill,JFS,Uno,
654,Addington Village Interchange,Ramsden,Harris Academy OrpingtonRavens Wood School,Go-Ahead London,
655,Mitcham,Raynes Park High School,Raynes Park High School,RATP Dev Transit London,
656,Gallows Corner,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
657,Salisbury Hall,Bancroft's School,Trinity Catholic High SchoolBancroft's School,Go-Ahead London,
658,Woolwich Arsenal station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Go-Ahead London,
660,Stationers' Crown Woods Academy,Catford bus garage,Stationers' Crown Woods Academy,Stagecoach London,
661,Chislehurst,Petts Wood railway station,Eltham CollegeCoopers School,Stagecoach London,
662,Surbiton railway station,Holy Cross School,Holy Cross School,RATP Dev Transit London,
663,Thornton Heath railway station,Harris Academy Purley,Harris Academy Purley,Go-Ahead London,
664,New Addington,Charles Darwin School,Charles Darwin SchoolRavens Wood School,Go-Ahead London,
665,Surbiton,Holy Cross School,Holy Cross School,RATP Dev Transit London,
667,Ilford,West Hatch High School,West Hatch High School,Stagecoach London,
669,Thamesmead,Cleeve Park School,Cleeve Park School,Stagecoach London,
670,Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
671,Chessington South railway station,Tiffin Girls' School,Tiffin Girls' School,Transport UK London Bus,
672,Thamesmead,Beresford Square,Hawksmoor Primary School,Stagecoach London,
673,The Warren School,Beckton bus station,The Warren School,Stagecoach London,Runs one way to Beckton bus station only.
674,Romford railway station,Harold Hill,Royal Liberty School,Stagecoach London,
675,St. James Street railway station,Woodbridge High School,Woodbridge High School,Arriva London,
677,Ilford,Debden,Davenant Foundation School,Go-Ahead London,
678,Beckton bus station,Stratford bus station,St Angela's Ursuline SchoolSt Bonaventure'sForest Gate Community SchoolStratford School,Stagecoach London,
679,Goodmayes,Woodford Wells,Woodford County High School For GirlsTrinity Catholic High SchoolBancroft's School,Go-Ahead London,
681,Hounslow bus station,Teddington School,Teddington School,RATP Dev Transit London,
683,Friern Barnet,JFS,JFS,Uno,
684,Orpington railway station,Charles Darwin School,Charles Darwin School,Stagecoach London,
685,Warlingham School,Selsdon,Warlingham SchoolRiddlesdown Collegiate,Arriva London,Runs one way to Selsdon only.
686,Romford railway station,St Edward's Church of England Academy,St Edward's Church of England Academy,Go-Ahead London,Afternoon journeys from St Edward's Church of England Academy terminate at Harold Hill.
687,Dagenham Park Church of England School,Barking station,Dagenham Park Church of England School,Go-Ahead London,
688,Southgate tube station,JFS,JFS,Uno,
689,West Croydon bus station,Monks Orchard,Orchard Park High School,Arriva London,
690,Burntwood School,Norwood bus garage,Burntwood School,Go-Ahead London,
696,Hayes,Bishop Ramsey School,Bishop Ramsey School,RATP Dev Transit London,
697,The Douay Martyrs School,Hayes End,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from Hayes End terminate at Ickenham tube station.
698,The Douay Martyrs School,West Drayton,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from West Drayton terminate at Ickenham tube station.
699,Winchmore Hill,Dame Alice Owen's School,Dame Alice Owen's School,Uno,
Route,Start,End,Operator,Letter code,Notes
A10,Uxbridge tube station,Heathrow Central bus station,Metroline,Heathrow Airport,
B11,Bexleyheath bus garage,South Thamesmead,Go-Ahead London,Bexleyheath,
B12,Erith,Joyden's Wood,Go-Ahead London,Bexleyheath,Extended from Bexleyheath Shopping Centre to Joyden's Wood on 24 January 2009.
B13,Bexleyheath Shopping Centre,New Eltham railway station,Go-Ahead London,Bexleyheath,
B14,Bexleyheath Shopping Centre,Orpington railway station,Stagecoach London,Bexleyheath,
B15,Bexleyheath Shopping Centre,Horn Park,Arriva London,Bexleyheath,
B16,Bexleyheath bus garage,Kidbrooke,Go-Ahead London,Bexleyheath,
C1,London Victoria station,White City bus station,RATP Dev Transit London,Central London,
C3,Clapham Junction railway station,Earl's Court,Transport UK London Bus,Chelsea,
C10,London Victoria station,Canada Water bus station,Transport UK London Bus,Central London,
C11,Archway tube station,Brent Cross bus station,Metroline,Cricklewood,
D3,Bethnal Green,Leamouth,Go-Ahead London,London Docklands,
D6,Ash Grove bus garage,Cubitt Town,Stagecoach London,London Docklands,
D7,Mile End tube station,All Saints Church,Stagecoach London,London Docklands,
D8,Cubitt Town,Stratford bus station,Stagecoach London,London Docklands,
E1,Ealing Broadway station,Greenford Broadway,Metroline,Ealing,
E2,Brentford,Greenford Broadway,Metroline,Ealing,
E3,Chiswick,Greenford Broadway,RATP Dev Transit London,Ealing,
E5,Perivale,Southall,Transport UK London Bus,Dormers Wells,
E6,Bulls Bridge,Greenford Broadway,Transport UK London Bus,Yeading,Temporarily withdrawn between Greenford station and Greenford Broadway until 20:00 on 17 August 2024 due to gas works on Oldfield Lane North.
E7,Ealing Broadway station,Ruislip tube station,Transport UK London Bus,Ealing,Runs via Wood Lane in Ruislip during shopping hours.
E8,Ealing Broadway station,Hounslow,Metroline,Ealing,
E9,Ealing Broadway station,Yeading,Metroline,Ealing,
E10,Ealing Broadway station,Northolt,Transport UK London Bus,Ealing,
E11,Ealing Common,Greenford Broadway,Transport UK London Bus,Ealing,
G1,Shaftesbury Park Estate,Norbury,Go-Ahead London,St George's Hospital,
H2,Golders Green tube station,Circular via Hampstead Garden Suburb,Metroline,Hampstead Garden Suburb,
H3,East Finchley,Golders Green tube station,Metroline,Hampstead Garden Suburb,
H9,Northwick Park Hospital (circular),anticlockwise via Kenton station,RATP Dev Transit London,Harrow,
H10,Northwick Park Hospital (circular),clockwise via South Harrow tube station,RATP Dev Transit London,Harrow,
H11,Harrow bus station,Mount Vernon Hospital,RATP Dev Transit London,Harrow,
H12,South Harrow tube station,Stanmore tube station,RATP Dev Transit London,Hatch End,
H13,Northwood Hills,Ruislip Lido,Metroline,Ruislip,
H14,Northwick Park Hospital,Hatch End,RATP Dev Transit London,Harrow,
H17,Harrow bus station,Wembley Central station,Metroline,Harrow,
H18,Harrow bus station (circular),clockwise via North Harrow,RATP Dev Transit London,Harrow,
H19,Harrow bus station (circular),anticlockwise via Kenton station,RATP Dev Transit London,Harrow,Route terminates at St George's Shopping Centre instead of Harrow bus station.
H20,Hounslow,Ivybridge,Transport UK London Bus,Hounslow,
H22,Hounslow,West Middlesex University Hospital,RATP Dev Transit London,Hounslow,
H25,Hanworth,Hatton Cross tube station,Transport UK London Bus,Hatton,
H26,Feltham,Hatton Cross tube station,Transport UK London Bus,Hatton,
H28,Bulls Bridge,Osterley,Transport UK London Bus,Hounslow,
H32,Southall Town Hall,Hounslow bus station,Transport UK London Bus,Hounslow,
H37,Richmond,Hounslow,RATP Dev Transit London,Hounslow,
H91,Hammersmith bus station,Hounslow West tube station,Metroline,Hounslow,
H98,Hayes End,Hounslow bus station,RATP Dev Transit London,Hounslow,
K1,Kingston upon Thames,New Malden railway station,RATP Dev Transit London,Kingston upon Thames,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.
K2,Kingston Hospital,Hook,RATP Dev Transit London,Kingston upon Thames,
K3,Roehampton Vale,Esher,RATP Dev Transit London,Kingston upon Thames,
K4,Mansfield Park Estate,Kingston Hospital,RATP Dev Transit London,Kingston upon Thames,
K5,Morden tube station,Ham,RATP Dev Transit London,Kingston upon Thames,
P4,Lewisham station,Brixton tube station,Go-Ahead London,Dulwich,
P5,Elephant and Castle,Patmore Estate,Transport UK London Bus,Clapham,
P12,Surrey Quays Shopping Centre,Brockley Rise,Go-Ahead London,Peckham,
P13,New Cross,Streatham railway station,Transport UK London Bus,Peckham,
R1,Green Street Green,St Paul's Cray,Go-Ahead London,Orpington,
R2,Orpington,Biggin Hill Valley,Go-Ahead London,Orpington,
R3,Princess Royal University Hospital,Orpington railway station,Go-Ahead London,Orpington,
R4,Princess Royal University Hospital,Paul's Cray Hill,Go-Ahead London,Orpington,
R5,Orpington railway station (circular),clockwise via Knockholt,Go-Ahead London,Orpington,
R6,Orpington railway station,St Mary Cray railway station,Go-Ahead London,Orpington,"To be withdrawn on 29 March 2025, being replaced by a reroute of route B14."
R7,Chelsfield Village,Chislehurst,Go-Ahead London,Orpington,
R8,Orpington railway station,Biggin Hill,Go-Ahead London,Orpington,
R9,Orpington railway station,Ramsden,Go-Ahead London,Orpington,
R10,Orpington railway station (circular),anticlockwise via Cudham,Go-Ahead London,Orpington,
R11,Green Street Green,Queen Mary's Hospital,Go-Ahead London,Orpington,
R68,Hampton Court railway station,Kew,Transport UK London Bus,Richmond,
R70,Richmond,Hampton,Transport UK London Bus,Richmond,
S1,Lavender Fields,Banstead,Go-Ahead London,Sutton,
S2,St Helier railway station,Epsom,Go-Ahead London,Sutton,
S3,Belmont railway station,Malden Manor railway station,Transport UK London Bus,Sutton,
S4,Sutton,Waddon Marsh tram stop,Transport UK London Bus,Sutton,
U1,Ruislip tube station,West Drayton railway station,Metroline,Uxbridge,
U2,Uxbridge tube station,Brunel University,Metroline,Uxbridge,Runs via Hillingdon tube station.
U3,Uxbridge tube station,Heathrow Central bus station,Metroline,Uxbridge,
U4,Uxbridge tube station,Hayes,Metroline,Uxbridge,
U5,Uxbridge,Hayes,Transport UK London Bus,Uxbridge,
U7,Uxbridge tube station,Hayes,Transport UK London Bus,Uxbridge,
U9,Uxbridge tube station,Harefield Hospital,Transport UK London Bus,Uxbridge,
U10,Uxbridge tube station,Ruislip,Metroline,Uxbridge,
W3,Finsbury Park bus station,Northumberland Park railway station,Arriva London,Wood Green,
W4,Oakthorpe Park,Tottenham Hale,Arriva London,West Green,
W5,Archway tube station,Harringay,Stagecoach London,Crouch End,
W6,Southgate tube station,Edmonton Green bus station,Arriva London,Palmers Green,
W7,Finsbury Park bus station,Muswell Hill,Metroline,Crouch End,
W8,Lee Valley Leisure Complex,Chase Farm Hospital,Metroline,Enfield Town,
W9,Southgate tube station,Chase Farm Hospital,Sullivan Buses,Enfield Town,
W11,Walthamstow bus station,Chingford Hall Estate,Stagecoach London,Walthamstow,
W12,Walthamstow,Wanstead,Stagecoach London,Walthamstow,
W13,Leytonstone bus station,Woodford Wells,Stagecoach London,Woodford,
W14,Leyton Mills,Woodford Bridge,Stagecoach London,Woodford,
W15,Hackney Town Hall,Higham Hill,Go-Ahead London,Walthamstow,
W16,Leytonstone bus station,Chingford Mount,Stagecoach London,Highams Park,
W19,Walthamstow,Ilford,Stagecoach London,Walthamstow,
Route,Start,End,Operator,,Notes
EL1,Barking Riverside,Ilford,Go-Ahead London,,24-hour operation.
EL2,Becontree Heath,Dagenham Dock,Go-Ahead London,,
EL3,Barking Riverside,Little Heath,Go-Ahead London,,Originally numbered 387 until 18 February 2017.